"U.S. Census Bureau"
"Source: Manufacturing and Trade Inventories and Sales"
"Total Business: U.S. Total"
"Seasonally Adjusted Inventories - Monthly [Millions of Dollars]"
"Period: 1992 to 2021"
"Data Extracted on: May 23, 2021 (4:03 pm)"

Period,Value
Jan-1992,808292
Feb-1992,809600
Mar-1992,812725
Apr-1992,815453
May-1992,815016
Jun-1992,820447
Jul-1992,825098
Aug-1992,826136
Sep-1992,827513
Oct-1992,827914
Nov-1992,829839
Dec-1992,835800
Jan-1993,835983
Feb-1993,838089
Mar-1993,844806
Apr-1993,846782
May-1993,847279
Jun-1993,849135
Jul-1993,849450
Aug-1993,850877
Sep-1993,855018
Oct-1993,855322
Nov-1993,859037
Dec-1993,863125
Jan-1994,863021
Feb-1994,867670
Mar-1994,868751
Apr-1994,871989
May-1994,882927
Jun-1994,888689
Jul-1994,894473
Aug-1994,902148
Sep-1994,907994
Oct-1994,913439
Nov-1994,919492
Dec-1994,926395
Jan-1995,935639
Feb-1995,942713
Mar-1995,951538
Apr-1995,959239
May-1995,965634
Jun-1995,969558
Jul-1995,972934
Aug-1995,976097
Sep-1995,980029
Oct-1995,984223
Nov-1995,986767
Dec-1995,985385
Jan-1996,990730
Feb-1996,991277
Mar-1996,989146
Apr-1996,992111
May-1996,993761
Jun-1996,993127
Jul-1996,997782
Aug-1996,999951
Sep-1996,1000678
Oct-1996,1004389
Nov-1996,1004457
Dec-1996,1004646
Jan-1997,1007785
Feb-1997,1010716
Mar-1997,1010352
Apr-1997,1014611
May-1997,1018535
Jun-1997,1024680
Jul-1997,1026787
Aug-1997,1028019
Sep-1997,1034401
Oct-1997,1038283
Nov-1997,1040118
Dec-1997,1045495
Jan-1998,1048304
Feb-1998,1054991
Mar-1998,1060201
Apr-1998,1062401
May-1998,1061497
Jun-1998,1061985
Jul-1998,1064039
Aug-1998,1066363
Sep-1998,1070815
Oct-1998,1073223
Nov-1998,1077587
Dec-1998,1077183
Jan-1999,1077080
Feb-1999,1082721
Mar-1999,1090051
Apr-1999,1092918
May-1999,1095905
Jun-1999,1098782
Jul-1999,1104062
Aug-1999,1105895
Sep-1999,1112246
Oct-1999,1115766
Nov-1999,1128337
Dec-1999,1137260
Jan-2000,1140023
Feb-2000,1146435
Mar-2000,1150666
Apr-2000,1157552
May-2000,1163974
Jun-2000,1174263
Jul-2000,1175374
Aug-2000,1183268
Sep-2000,1183463
Oct-2000,1189920
Nov-2000,1197038
Dec-2000,1195894
Jan-2001,1197945
Feb-2001,1191600
Mar-2001,1186068
Apr-2001,1184434
May-2001,1182109
Jun-2001,1173176
Jul-2001,1165045
Aug-2001,1163600
Sep-2001,1157242
Oct-2001,1139077
Nov-2001,1126312
Dec-2001,1118552
Jan-2002,1117388
Feb-2002,1111859
Mar-2002,1108193
Apr-2002,1106806
May-2002,1110725
Jun-2002,1112674
Jul-2002,1119258
Aug-2002,1120777
Sep-2002,1128958
Oct-2002,1130630
Nov-2002,1132381
Dec-2002,1139523
Jan-2003,1139589
Feb-2003,1148176
Mar-2003,1149009
Apr-2003,1150317
May-2003,1145246
Jun-2003,1142115
Jul-2003,1139701
Aug-2003,1132993
Sep-2003,1136935
Oct-2003,1143104
Nov-2003,1145108
Dec-2003,1147795
Jan-2004,1148368
Feb-2004,1158745
Mar-2004,1168100
Apr-2004,1176070
May-2004,1183161
Jun-2004,1195398
Jul-2004,1207045
Aug-2004,1217193
Sep-2004,1217197
Oct-2004,1225082
Nov-2004,1238758
Dec-2004,1241744
Jan-2005,1252532
Feb-2005,1261260
Mar-2005,1269206
Apr-2005,1274858
May-2005,1276324
Jun-2005,1275941
Jul-2005,1270245
Aug-2005,1274931
Sep-2005,1282691
Oct-2005,1291352
Nov-2005,1300830
Dec-2005,1314197
Jan-2006,1323230
Feb-2006,1327132
Mar-2006,1340265
Apr-2006,1348401
May-2006,1363378
Jun-2006,1375844
Jul-2006,1381004
Aug-2006,1391189
Sep-2006,1396513
Oct-2006,1401711
Nov-2006,1407327
Dec-2006,1408628
Jan-2007,1412835
Feb-2007,1419061
Mar-2007,1420617
Apr-2007,1428454
May-2007,1438173
Jun-2007,1445333
Jul-2007,1447009
Aug-2007,1452701
Sep-2007,1460588
Oct-2007,1466555
Nov-2007,1476605
Dec-2007,1488242
Jan-2008,1500385
Feb-2008,1507249
Mar-2008,1507864
Apr-2008,1514376
May-2008,1517068
Jun-2008,1526797
Jul-2008,1535633
Aug-2008,1538866
Sep-2008,1528552
Oct-2008,1514108
Nov-2008,1498266
Dec-2008,1465914
Jan-2009,1447843
Feb-2009,1426987
Mar-2009,1405916
Apr-2009,1387150
May-2009,1372189
Jun-2009,1354277
Jul-2009,1338177
Aug-2009,1321363
Sep-2009,1315356
Oct-2009,1323322
Nov-2009,1334118
Dec-2009,1331619
Jan-2010,1333681
Feb-2010,1342245
Mar-2010,1348299
Apr-2010,1352768
May-2010,1357559
Jun-2010,1367529
Jul-2010,1379402
Aug-2010,1391447
Sep-2010,1406368
Oct-2010,1423178
Nov-2010,1434246
Dec-2010,1450020
Jan-2011,1461803
Feb-2011,1471535
Mar-2011,1488262
Apr-2011,1501859
May-2011,1520197
Jun-2011,1526441
Jul-2011,1533914
Aug-2011,1541504
Sep-2011,1535463
Oct-2011,1550000
Nov-2011,1557557
Dec-2011,1566556
Jan-2012,1572885
Feb-2012,1586308
Mar-2012,1592585
Apr-2012,1600075
May-2012,1605512
Jun-2012,1610884
Jul-2012,1623560
Aug-2012,1630517
Sep-2012,1643090
Oct-2012,1644352
Nov-2012,1650283
Dec-2012,1657144
Jan-2013,1669162
Feb-2013,1671123
Mar-2013,1670997
Apr-2013,1673921
May-2013,1670575
Jun-2013,1672887
Jul-2013,1677298
Aug-2013,1685721
Sep-2013,1695138
Oct-2013,1704991
Nov-2013,1715471
Dec-2013,1723664
Jan-2014,1729759
Feb-2014,1739088
Mar-2014,1747033
Apr-2014,1754066
May-2014,1762190
Jun-2014,1765649
Jul-2014,1770827
Aug-2014,1776928
Sep-2014,1778434
Oct-2014,1782357
Nov-2014,1788817
Dec-2014,1786160
Jan-2015,1785696
Feb-2015,1791613
Mar-2015,1794197
Apr-2015,1800675
May-2015,1805327
Jun-2015,1815532
Jul-2015,1816074
Aug-2015,1819093
Sep-2015,1822799
Oct-2015,1825009
Nov-2015,1822517
Dec-2015,1818853
Jan-2016,1818297
Feb-2016,1813289
Mar-2016,1819325
Apr-2016,1825429
May-2016,1830240
Jun-2016,1830329
Jul-2016,1831316
Aug-2016,1831548
Sep-2016,1833855
Oct-2016,1835396
Nov-2016,1847861
Dec-2016,1852082
Jan-2017,1856338
Feb-2017,1859890
Mar-2017,1864221
Apr-2017,1862931
May-2017,1867818
Jun-2017,1875408
Jul-2017,1882083
Aug-2017,1892596
Sep-2017,1896386
Oct-2017,1897131
Nov-2017,1906811
Dec-2017,1915152
Jan-2018,1924611
Feb-2018,1935998
Mar-2018,1936191
Apr-2018,1942041
May-2018,1945721
Jun-2018,1949243
Jul-2018,1958845
Aug-2018,1969002
Sep-2018,1978175
Oct-2018,1988862
Nov-2018,1988677
Dec-2018,2005611
Jan-2019,2019161
Feb-2019,2028075
Mar-2019,2029884
Apr-2019,2038072
May-2019,2043123
Jun-2019,2044524
Jul-2019,2046539
Aug-2019,2045231
Sep-2019,2042801
Oct-2019,2042171
Nov-2019,2039439
Dec-2019,2037945
Jan-2020,2030846
Feb-2020,2020421
Mar-2020,2014717
Apr-2020,1986534
May-2020,1942430
Jun-2020,1921026
Jul-2020,1920295
Aug-2020,1929735
Sep-2020,1943907
Oct-2020,1961595
Nov-2020,1974114
Dec-2020,1984955
Jan-2021,1996650
Feb-2021,2009268
Mar-2021,2014334
Apr-2021,"NA"
May-2021,"NA"
Jun-2021,"NA"
Jul-2021,"NA"
Aug-2021,"NA"
Sep-2021,"NA"
Oct-2021,"NA"
Nov-2021,"NA"
Dec-2021,"NA"
