"Series Description","Delinquency rate on lease financing receivables; All commercial banks (Seasonally adjusted)"
"Unit:","Percentage"
"Multiplier:","1"
"Currency:","NA"
"Unique Identifier: ","CHGDEL/CHGDEL/STFBQDR%STFBAILR_XEOP_MA.Q"
"Time Period","STFBQDR%STFBAILR_XEOP_MA.Q"
1987Q1,2.49
1987Q2,2.25
1987Q3,2.13
1987Q4,1.88
1988Q1,1.79
1988Q2,1.73
1988Q3,1.62
1988Q4,1.50
1989Q1,1.66
1989Q2,1.80
1989Q3,1.84
1989Q4,1.95
1990Q1,1.88
1990Q2,1.85
1990Q3,2.12
1990Q4,2.39
1991Q1,2.75
1991Q2,2.64
1991Q3,2.49
1991Q4,2.29
1992Q1,2.18
1992Q2,2.20
1992Q3,2.19
1992Q4,2.09
1993Q1,1.73
1993Q2,1.61
1993Q3,1.39
1993Q4,1.17
1994Q1,1.08
1994Q2,1.03
1994Q3,0.91
1994Q4,0.86
1995Q1,0.72
1995Q2,0.71
1995Q3,0.85
1995Q4,1.03
1996Q1,1.05
1996Q2,1.32
1996Q3,1.04
1996Q4,1.00
1997Q1,1.06
1997Q2,1.14
1997Q3,1.12
1997Q4,1.16
1998Q1,1.10
1998Q2,1.01
1998Q3,1.07
1998Q4,1.10
1999Q1,1.23
1999Q2,1.32
1999Q3,1.37
1999Q4,1.32
2000Q1,1.32
2000Q2,1.70
2000Q3,1.66
2000Q4,1.81
2001Q1,1.85
2001Q2,1.99
2001Q3,2.25
2001Q4,2.36
2002Q1,2.38
2002Q2,2.28
2002Q3,2.21
2002Q4,2.10
2003Q1,2.07
2003Q2,2.07
2003Q3,1.85
2003Q4,1.65
2004Q1,1.26
2004Q2,1.42
2004Q3,1.36
2004Q4,1.33
2005Q1,1.35
2005Q2,1.33
2005Q3,1.21
2005Q4,1.21
2006Q1,1.26
2006Q2,1.16
2006Q3,1.31
2006Q4,1.29
2007Q1,1.22
2007Q2,1.05
2007Q3,1.16
2007Q4,1.34
2008Q1,1.39
2008Q2,1.54
2008Q3,1.58
2008Q4,1.81
2009Q1,2.14
2009Q2,2.39
2009Q3,2.52
2009Q4,2.17
2010Q1,2.22
2010Q2,2.03
2010Q3,1.82
2010Q4,1.50
2011Q1,1.20
2011Q2,1.08
2011Q3,1.00
2011Q4,0.89
2012Q1,0.85
2012Q2,0.75
2012Q3,0.75
2012Q4,0.81
2013Q1,0.83
2013Q2,0.90
2013Q3,0.86
2013Q4,0.89
2014Q1,0.83
2014Q2,0.68
2014Q3,0.81
2014Q4,0.68
2015Q1,0.73
2015Q2,0.75
2015Q3,0.78
2015Q4,0.81
2016Q1,0.94
2016Q2,1.00
2016Q3,1.03
2016Q4,1.06
2017Q1,1.00
2017Q2,0.97
2017Q3,1.00
2017Q4,1.02
2018Q1,0.96
2018Q2,1.02
2018Q3,1.03
2018Q4,1.03
2019Q1,1.20
2019Q2,1.09
2019Q3,1.16
2019Q4,1.26
2020Q1,1.28
2020Q2,1.53
2020Q3,1.45
2020Q4,1.44
2021Q1,1.48
