"Series Description","Total Assets; Interest-earning; All loans and leases, gross; Lease financing receivables; All commercial banks (End of period)"
"Unit:","Currency"
"Multiplier:","1000000"
"Currency:","USD"
"Unique Identifier: ","CHGDEL/CHGDEL/STFBAILR_XEOP_MA_N.Q"
"Time Period","STFBAILR_XEOP_MA_N.Q"
1985Q1,20573
1985Q2,21443
1985Q3,22086
1985Q4,24305
1986Q1,24752
1986Q2,24983
1986Q3,25811
1986Q4,27496
1987Q1,27783
1987Q2,28299
1987Q3,28825
1987Q4,31086
1988Q1,31225
1988Q2,32310
1988Q3,33201
1988Q4,34397
1989Q1,34160
1989Q2,34458
1989Q3,36029
1989Q4,37195
1990Q1,36714
1990Q2,36971
1990Q3,37680
1990Q4,38015
1991Q1,36999
1991Q2,36825
1991Q3,36186
1991Q4,36624
1992Q1,35934
1992Q2,34803
1992Q3,35094
1992Q4,34757
1993Q1,34587
1993Q2,34973
1993Q3,35722
1993Q4,37264
1994Q1,37683
1994Q2,39343
1994Q3,41702
1994Q4,44847
1995Q1,45947
1995Q2,48788
1995Q3,52031
1995Q4,56992
1996Q1,60835
1996Q2,64973
1996Q3,71470
1996Q4,77739
1997Q1,82585
1997Q2,87788
1997Q3,94405
1997Q4,99764
1998Q1,102576
1998Q2,108149
1998Q3,115141
1998Q4,121943
1999Q1,131459
1999Q2,135708
1999Q3,143503
1999Q4,151079
2000Q1,148541
2000Q2,155949
2000Q3,160181
2000Q4,161499
2001Q1,164819
2001Q2,164185
2001Q3,162619
2001Q4,164256
2002Q1,164011
2002Q2,162609
2002Q3,160201
2002Q4,157229
2003Q1,154719
2003Q2,153865
2003Q3,151568
2003Q4,147635
2004Q1,144687
2004Q2,137174
2004Q3,137149
2004Q4,139900
2005Q1,135736
2005Q2,134899
2005Q3,135841
2005Q4,134747
2006Q1,134029
2006Q2,135694
2006Q3,135233
2006Q4,135012
2007Q1,127616
2007Q2,126002
2007Q3,126453
2007Q4,126976
2008Q1,125683
2008Q2,126673
2008Q3,123287
2008Q4,117228
2009Q1,112586
2009Q2,111974
2009Q3,108119
2009Q4,106239
2010Q1,102085
2010Q2,100342
2010Q3,97215
2010Q4,98542
2011Q1,96381
2011Q2,96081
2011Q3,96506
2011Q4,97309
2012Q1,98628
2012Q2,98928
2012Q3,100255
2012Q4,102330
2013Q1,102884
2013Q2,104681
2013Q3,105166
2013Q4,107612
2014Q1,106400
2014Q2,107520
2014Q3,109644
2014Q4,109847
2015Q1,109759
2015Q2,110941
2015Q3,110464
2015Q4,112203
2016Q1,116881
2016Q2,117910
2016Q3,118598
2016Q4,121888
2017Q1,121136
2017Q2,121941
2017Q3,122582
2017Q4,125119
2018Q1,123813
2018Q2,123727
2018Q3,124003
2018Q4,126205
2019Q1,122674
2019Q2,123411
2019Q3,123632
2019Q4,124816
2020Q1,122808
2020Q2,120977
2020Q3,118749
2020Q4,117244
2021Q1,114807
